comment_id,user_name,content
2009163579563759,Sandy Thỏ,Tuiiii😢
2009009589579158,Nguyễn Thị Huỳnh Như,Liêu Như Quỳnh hi
2008909072922543,Nguyễn Đình Trí,Tưởng tay của mai siêu phong 🤣🤣 luyện cửu âm bạch cốt chảo
2008898062923644,Trần Thanh Vân,Nhả vía chân giò cho bà nè 😆
2008901079590009,Xuân Phạm,Này còn nữ tính hơn t chút là có sơn móng tay 🤣
2008908536255930,Đức Quyết,Tay này chỉ sướng bác sĩ thôi
2012437592569691,Trương Huyền,"gân xanh nhiều và nổi rõ lên nhiều là cơ thể đang thiếu máu ấy ạ , mình nên đi khám xem sao nhé"
2009439612869489,Trần Thành,0 dám tin đây là tay của con gái luôn 😰
2009025032910947,Lâm Na Rin,Này mạch máu mà đâu phải gân
2009594946187289,Hà An,Ít me
2008901249589992,Nguyễn Thu Trang,"Gân xanh này do lúc ốm, tắm kì mạnh. Nó nổi lên."
2008992132914237,Nhã Phương,Đẻ xong tắm kỳ mạnh vào lên gân thôi rồi😂
2012438165902967,Trương Huyền,Gửi các bạn chương trình BH siêu rẻ để lỡ k may ốm mình vẫn check in chanh sả tại các viện quốc tế mà k cần phải lo chi phí ạ
2009240002889450,Trần Phương Thảo,Chắc đẻ xong k kiêng nước 😂😂
2008898102923640,Van Pham,Tay tui y chang . Nhỏ làm việc năngn nhiều
2013773205769463,Nguyễn Trường Nam,Chắc luyện cửu âm chân kinh hơi quá 🙄
2008899479590169,Hồng Nhân,"Ha ha này ra gặp mấy bà già xưa đấy, chắc khi đẻ k kiêng nên giờ gân xanh đầy tay thế kia đấy😂"
2008981739581943,Trần Thị Thu Huyền,Tao á bây
2008924969587620,Ha Vuong,"Giống mình, hồi SV đi học bạn bè cười trêu bảo mặt 15 tay 70 mới buồn."
2009259446220839,Hồng Ngọc Natali,Bốc tạ quá chèn 😂
2008948549585262,Mai Cúc Phương,Đồng cảnh ngộ nè ng gân xanh nổi tùm lum
2009061802907270,Hoang Yen Nguyen,Cứ bị của ☺️
2008918156254968,Thanh Le,Nghẹo rồi
2008940866252697,Thanh Hà Trần,😂 Nhìn tay tưởng đàn ông ( nếu ko sơn móng )
2008895262923924,Phương Trinh,Taoo đó huuu
2008993432914107,Sara Nguyễn,Nói t à🥹
2008920779588039,Nhung Macaron,Dễ lấy ven tiêm chuyền lắm đây 😌
2009551846191599,Lê Hải Yến,Mạnh Trường chán ko thèm nói
2008907596256024,Hứa Hùng,Tay này có phải do làm nhiều ko nhỉ?0
2009184226228361,Nguyễn Minh Thảo,Tiền không có chứ gân có thừa lắm.
2008949849585132,Thu Trịnh,qua e mua cá nha mn 🐊😍🐊
2009005166246267,Linh Hoàng,Quá trời đôi bàn tay 🌝 nhưng mình lại thích gân guốc chứ lại 🫢
2009070992906351,Nguyễn Thị Bích Hà,Y tay t
2009154092898041,Quỳnh Mít,Tay t tuy nhiều gân nhưng được cái đen nữa
2010175176129266,Không Đẹp Choai,Nguyen Linh m có z ko
2009191156227668,Trần Thị Thanh Nghiêm,ik tui lun chụp xong tháy sợ ma ghê😂
2008903122923138,Diệp Hà,Ước
2008924789587638,Linh Nguyễn,CáoVinh tay con gái mà chiến :)))
2008908012922649,An Khương Liễu,Tui tưởng tay của mấy anh trai slim k đó bà :))))))
2009269659553151,Larry Vũ,Minh Thu e thích hong ><
2008893982924052,Lyn Nie,T á 🥹
2009787669501350,Hoàng Thị Trà Mi,Tôi đó🥹🥹 chính là tui Xíu Ngoan
2008919742921476,Mina San,Tôi 😅
2009100232903427,Lâm Ngọc Huyền My,Giao Trần nè nè ko phải 1 mình iem
2008900026256781,Võ Thị Thanh Trúc,Toy
2008997146247069,Lâm Thị Ngọc Trâm,Sin lõi. :))
2009085212904929,Mia Hoàng,Nhìn như đàn ô vậy 🥲
2008899752923475,Nguyễn Thị Thuỳ Dung,Mập lên là hết à
2008929736253810,Ly Ly,Tay t gầy quá gân còn hiện hẳn chữ Ly
2008900039590113,Hoa Anh,Chính toy
2013764379103679,Trần Ngọc Linh,Dã man 😂
2008893759590741,Andrew Nguyen,Xin vía cho cậu nhỏ ạ 😩
2008901569589960,Phan Nhiên,"Tui làm việc nhiều nên cũng bị mà đỡ hơn, tay này giống bị giãn tĩnh mạch nha, bạn nên đi khám thử"
2008927102920740,Trần Thị Thu Phương,"Vì đôi tay này mà tao bị bạn bè trâm trọc suốt quãng thời gian đi học. Chúng nó gọi tao là xmen 😂. Hồi đó tao cũng buồn, cũng từng hỏi tại sao mẹ đẻ ra con lại như này hả mẹ? Mẹ tao chỉ động viên: trời sinh ra cho mình hình hài đủ tay chân, đủ ngón đã là 1 niềm hạnh phúc rồi con ạ. Nhiều người sinh ra thiếu sót lại chỉ ao ước đc như con. Miễn sao mình khỏe mạnh con ạ. Thế là tao bằng lòng với tất cả những gì mình có. Đến giờ tao đi làm văn phòng, cũng sướng đấy nhưng tay chân thì vẫn thô ráp vậy. Tao ko còn than vãn gì đôi bàn tay này nữa. Ai mới gặp thấy xấu cứ nhìn chằm chằm tao kệ, tao làm đc nhiều việc có ích là đc rồi 😊"
2008917679588349,Linh Linh,"mang bộ phận của đàn bà, nhưng chân tay lại hình hài đàn ông cứu tui🥴🫣"
2008898002923650,Thất Dạ Tuyết,Đã nhiều gân thì chọn màu móng nào nó nhìn dễ coi xíu. Chọn bộ móng nhìn ớn lạnh
2008900462923404,Oanh Hoàng,"Tĩnh mạch thì có, cẩn thận sau giãn dĩnh mạch"
2008899966256787,Oanh Móm,Vậy là tui k hề cô đơn rồi 😝
2013149595831824,Củ Cải Đắng,Nhiều gân thêm nhiều lông nữa.cíu t 🥲
2009016006245183,Diệp Thư,Gân cỡ này nên làm sì tóp :)))
2008917542921696,Trâm Kim Anh,Nhưng tay trong hình là tay đàn ông ak..chứ tay phụ nữ dù nhiều gân nổi cũng Ko đến mức vầy dc
2008960939584023,Nguyễn Nhi,Chụp lộn hả cậu
