comment_id,user_name,content
2032192507260866,Hoang Dung,T thấy đây là câu trả lời tự động của sốp ấy :)))) mấy shop mà cứ dí khách đến cùng hỏi nhiều t sẽ k mua 😂😂
2032193027260814,Ngọc Quỳnh,shop gì để quả trả lời tự động ngu ngốc vậy 🙁 quỳ luôn
2032201623926621,Dương,"Ui bọn này toàn bắt cọc xong gửi rẻ lau tới, xong bắt chặn shiper với ăn gian tiền cọc ấy mọi người. Thích gì qua sọp pe hay tóp tóp mà mua."
2032201910593259,Bùi Mỹ Linh,Dương Huyền con bán hàng mới chơi đá fake à kkk
2032191707260946,Thu Trang,Huyền Bé Ngọc Bích Nguyễn Hồng Phúc mới hỏi giá hoyy à
2032209063925877,Tuệ Linh,Mang tiếng hàng xuất nhưng thực chất là hàng Trung Quốc nha mấy ba.
2032193047260812,Nguyễn Thị Hồng Thanh,"Mấy cái page chạy QC sợ lừa đảo lắm các bác
1 là gửi rẻ lau r chặn
2 là n bắt cọc xong n bùng"
2032262400587210,Diên Vỹ,Ngọc Trâm giá cao quá so với chị ạ? 😂😂😂
2032192173927566,Phương Thảo,Thùy Nguyễn tr oi
2032195370593913,Chang Chang,Thấy cái tên shop là biết ko uy tín r á 😂😂
2032196023927181,Thảo Bimbim,Chưa gì đã thấy hàng đ** chất lượng rồi ấy chứ.
2032664660546984,Phương Nhung,Shop bị ngáo
2032730343873749,Tường Vân,Cười điên Pu Nguyen
2032286400584810,Thuỳ Dương Phạm,Ủa gì vậy? Chatbot thì cũng ko nên set up câu hỏi như thế chứ nhỉ? Ngu thật sự :))) 450k lại cao quá :)))
2032192593927524,Thủy Thu Đỗ,"chịu lun chủ nào thuê con này tư vấn @,@"
2032193400594110,Nguyễn Huyền Cheng,;))) khó chịu vch
2032197163927067,Lam An,"Tin nhắn tự động đó ạ 🤣🤣🤣
T bán hàng không nghỉ lại có chủ shop set tin nhắn tự động kiểu đó, Lạy luôn á

rút kinh nghiệm dù là chủ shop bán 7 năm nay rùi page nào cứ tin nhắn tự động và dí kiểu đó tốt nhất k nên cọc ( tui bán chỉ cho phép nhân viên hỏi lại 1 lần duy nhất vì sợ khách quên thui) dí kiểu đó phát khiếp"
2032195203927263,Đăng Nguyên,"Chắc ế quá,lâu lâu mới có người hỏi nên e ấy hơi mất bình tĩnh 🤣"
2032203707259746,Mai Thi,Tin nhắn tự động mà mắc cười ghê
2032191570594293,Như Nguyễn,nó hỏi giá cao quá thì c k hỏi nó có bớt k🤣🤣🤣
2032194350594015,Lam La,shop đến tháng à =))
2032200087260108,Nguyễn Thị Hoàng Mây,Xu Ân auto rep ncc z
2032195513927232,Thuỷ Tiên Tống,"Ghé e mua đi mng, hỏi ngày này qua tháng nọ ko mua cũng k sao, để coi e lì hay khách lì , 1p qc ai da ngâm , da đen , da khô, bị cháy nắng , lcl to ghé e mua bột tắm trắng nhaaa, bột thiên nhiên mix nia và lá rừng 🌸"
2032395517240565,Ly Lưu,Mua hàng cứ qua shop này mà mua tư vấn nhiệt tình nhắn tin cái là rep liền Á FA
2032194010594049,Hạ Nguyệt,Ngày mai nghỉ việc rồi phải phá shop thôi 👀
2032194477260669,Hà Nguyễn Nguyên Hà,xin link =))
2032410117239105,Mimie,Bộ này 450k ở ngoài xấu ói á. Mấy cái sóp chạy quảng cáo fb ko có ảnh thật tốt nhất đừng mua
2032197723927011,Nguyễn Chi,Shop này trước bị phốt rồi hay sao ấy
2032203223926461,Mai Ngọc Anh,Con chủ shop nó bị thân kinh à😀
2032192980594152,Thư Nguyễn Thanh,nhưng hỏi câu đấy nghe rất chi là khó chịu nhá =)))
